What is a user’s environment? How can this be shown?	A user’s environment is any user-defined variable that affect the way processes will behave, such as $HOME, $DISPLAY, $PATH. A user’s environment is shown with the `env` command.
What are environment modules? What do they do?	Environment modules allow a user to dynamically change the software they have in their $PATH, such as binary executables, liibraries, manual pages, etc.
Why would one use environment modules?	Environment modules allow multiple versions of the same software to exist on a system catering for different user needs for benchmarking, consistency, and hardware.
How is software built on Spartan and other HPC systems? Why is done this way?	Software is typically built from the source-code. This allows for optimisation and integration with other software and the specific hardware of the system. Typically, a performance improvement of 25%-33% can be expected over installing software from pre-packaged binaries.
What does Spartan use to help install software?	Spartan uses the EasyBuild build-automation system, a global collection of tested scripts. Another similar system is Spac. 
Where are the EasyBuild scripts located?	The current EasyBuild scripts on Spartan are found at: `/apps/easybuild-2022/easybuild/local-easybuild/`. This can be used for review, or by traversing the directories to sourecode, or can be used by those who wish to create custom installs and patches.
What is a toolchain?	A toolchain is a collection one or more compilers (e.g., GCC) with libraries for specialist functions (e.g., BLAS, LAPACK). Toolchains are required to build and use software applications.
What type of environment module program does Spartan use? What are the alternatives?	Spartan, like most HPC systems, uses the Lmod (Lua-modules) program. Some systems may use the older Tcl-based modules system. 
Why is the Lmod system preferable to Tmod?	Lmod only allows one version of an application to loaded at any time, preventing the same application (with different versions) being loaded in the $PATH simultaneously. This prevents unexpected errors, such as calling an old library.
How would a user display the current environment modules?	The command `module list` displays current loaded module files.
What environment module files are loaded by default on Spartan?	By default, the Slurm, spartan-rhel9, foss/2022a modules are loaded and their dependencies.
What do Spartan’s default module files allow a user to do?	Submit jobs and conduct operations for the scheduler with Slurm, run multinode applications with foss/2022a
What does the `module avail` command do? What are its limitations?	The `module avail` command lists available system software and software for loaded toolchains. It will not list software for toolchains that are not loaded.
How does one load or unload an environment module? What happens to dependencies?	The command to load a module is `module load $modulename` and `module unload $module` to unload it. Dependencies will be updated if a `module load` command is used, but will remain in the $PATH if a module is unloaded as they could be used for another purpose..
What does the `module switch` command do?	The `module switch` command unloaded one module file and switches it for another. Typically this is with the same software application, but different versions (e.g., `module switch GCC/11.3.0 GCC/13.3.0`). Dependencies will also be updated.
What does the `module spider` command do? How does it compare to the `module overview` command?	The `module spider` command shows all modules, major versions, and a brief description of the module, for all toolchains. The `module overview` command shows the title of the module, organised by toolchain, and the number of versions installed.
